Type,Algorithm,Time,Comparisons
WITHPREFIX_2300,Ternary QuickSort,1.72269,59671
WITHPREFIX_2300,MSD Radix,5.63884,0
WITHPREFIX_2300,MSD Sort,1.72123,59671
WITHPREFIX_2300,MSD Radix + Quick,4.04177,9835
RANDOM_2400,std::sort,1.91216,30663
RANDOM_2400,MergeSort LCP,5.46454,57894
RANDOM_2400,Ternary QuickSort,1.23248,27256
RANDOM_2400,MSD Radix,2.62113,0
RANDOM_2400,MSD Sort,1.23876,27256
RANDOM_2400,MSD Radix + Quick,0.871992,10261
REVERSED_2400,std::sort,0.3296,7221
REVERSED_2400,MergeSort LCP,4.47253,35484
REVERSED_2400,Ternary QuickSort,4.31736,112204
REVERSED_2400,MSD Radix,2.59421,0
REVERSED_2400,MSD Sort,4.26051,112204
REVERSED_2400,MSD Radix + Quick,1.66536,32328
ALMOST_2400,std::sort,0.540167,13005
ALMOST_2400,MergeSort LCP,4.67018,39556
ALMOST_2400,Ternary QuickSort,3.50003,90617
ALMOST_2400,MSD Radix,2.63843,0
ALMOST_2400,MSD Sort,3.59551,90617
ALMOST_2400,MSD Radix + Quick,1.00253,14155
WITHPREFIX_2400,std::sort,2.0049,30349
WITHPREFIX_2400,MergeSort LCP,11.1453,416964
WITHPREFIX_2400,Ternary QuickSort,1.79832,62563
WITHPREFIX_2400,MSD Radix,6.16046,0
WITHPREFIX_2400,MSD Sort,1.79584,62563
WITHPREFIX_2400,MSD Radix + Quick,4.22684,10394
RANDOM_2500,std::sort,2.48005,32892
RANDOM_2500,MergeSort LCP,7.76147,60816
RANDOM_2500,Ternary QuickSort,1.38179,28859
RANDOM_2500,MSD Radix,2.91377,0
RANDOM_2500,MSD Sort,1.32601,28859
RANDOM_2500,MSD Radix + Quick,0.91065,10934
REVERSED_2500,std::sort,0.360133,7521
REVERSED_2500,MergeSort LCP,4.68718,37474
REVERSED_2500,Ternary QuickSort,4.54781,118726
REVERSED_2500,MSD Radix,2.73193,0
REVERSED_2500,MSD Sort,4.48742,118726
REVERSED_2500,MSD Radix + Quick,1.82704,34904
ALMOST_2500,std::sort,0.587458,14069
ALMOST_2500,MergeSort LCP,4.88488,41225
ALMOST_2500,Ternary QuickSort,3.64987,94986
ALMOST_2500,MSD Radix,2.74961,0
ALMOST_2500,MSD Sort,3.63722,94986
ALMOST_2500,MSD Radix + Quick,1.06699,15369
WITHPREFIX_2500,std::sort,2.09057,31858
WITHPREFIX_2500,MergeSort LCP,11.6961,437983
WITHPREFIX_2500,Ternary QuickSort,1.97998,68080
WITHPREFIX_2500,MSD Radix,6.43173,0
WITHPREFIX_2500,MSD Sort,1.96448,68080
WITHPREFIX_2500,MSD Radix + Quick,4.39604,10511
RANDOM_2600,std::sort,2.08009,33085
RANDOM_2600,MergeSort LCP,5.98923,63638
RANDOM_2600,Ternary QuickSort,1.33518,29190
RANDOM_2600,MSD Radix,2.89411,0
RANDOM_2600,MSD Sort,1.33215,29190
RANDOM_2600,MSD Radix + Quick,0.955358,11468
REVERSED_2600,std::sort,0.363925,7821
REVERSED_2600,MergeSort LCP,4.88321,39293
REVERSED_2600,Ternary QuickSort,4.69462,123918
REVERSED_2600,MSD Radix,2.90387,0
REVERSED_2600,MSD Sort,4.67924,123918
REVERSED_2600,MSD Radix + Quick,1.8727,37437
ALMOST_2600,std::sort,0.579033,13869
ALMOST_2600,MergeSort LCP,5.10713,42287
ALMOST_2600,Ternary QuickSort,3.87688,100679
ALMOST_2600,MSD Radix,2.91258,0
ALMOST_2600,MSD Sort,3.85987,100679
ALMOST_2600,MSD Radix + Quick,1.11495,16155
WITHPREFIX_2600,std::sort,2.17836,33936
WITHPREFIX_2600,MergeSort LCP,12.2177,456697
WITHPREFIX_2600,Ternary QuickSort,1.98477,68486
WITHPREFIX_2600,MSD Radix,6.54202,0
WITHPREFIX_2600,MSD Sort,1.97931,68486
WITHPREFIX_2600,MSD Radix + Quick,4.58202,11640
RANDOM_2700,std::sort,2.22072,35593
RANDOM_2700,MergeSort LCP,6.19774,66532
RANDOM_2700,Ternary QuickSort,1.40694,31319
RANDOM_2700,MSD Radix,3.05854,0
RANDOM_2700,MSD Sort,1.42754,31319
RANDOM_2700,MSD Radix + Quick,0.993475,11900
REVERSED_2700,std::sort,0.3808,8121
REVERSED_2700,MergeSort LCP,5.09468,41228
REVERSED_2700,Ternary QuickSort,4.90327,129694
REVERSED_2700,MSD Radix,3.04828,0
REVERSED_2700,MSD Sort,4.94016,129694
REVERSED_2700,MSD Radix + Quick,2.07593,39993
ALMOST_2700,std::sort,0.694875,15908
ALMOST_2700,MergeSort LCP,5.44448,45979
ALMOST_2700,Ternary QuickSort,4.13952,106760
ALMOST_2700,MSD Radix,3.08213,0
ALMOST_2700,MSD Sort,4.10831,106760
ALMOST_2700,MSD Radix + Quick,1.17477,17109
WITHPREFIX_2700,std::sort,2.31947,36620
WITHPREFIX_2700,MergeSort LCP,12.7607,477098
WITHPREFIX_2700,Ternary QuickSort,2.02292,70377
WITHPREFIX_2700,MSD Radix,6.93083,0
WITHPREFIX_2700,MSD Sort,2.02318,70377
WITHPREFIX_2700,MSD Radix + Quick,4.74115,12266
RANDOM_2800,std::sort,2.28909,36559
RANDOM_2800,MergeSort LCP,6.47338,69405
RANDOM_2800,Ternary QuickSort,1.46288,32056
RANDOM_2800,MSD Radix,3.53189,0
RANDOM_2800,MSD Sort,1.52031,32056
RANDOM_2800,MSD Radix + Quick,1.03446,12498
REVERSED_2800,std::sort,0.392792,8421
REVERSED_2800,MergeSort LCP,5.35963,42776
REVERSED_2800,Ternary QuickSort,5.20206,137739
REVERSED_2800,MSD Radix,3.2166,0
REVERSED_2800,MSD Sort,5.25414,137739
REVERSED_2800,MSD Radix + Quick,2.0993,42477
ALMOST_2800,std::sort,0.618184,14905
ALMOST_2800,MergeSort LCP,6.79757,51330
ALMOST_2800,Ternary QuickSort,4.28112,110837
ALMOST_2800,MSD Radix,3.3427,0
ALMOST_2800,MSD Sort,4.25224,110837
ALMOST_2800,MSD Radix + Quick,1.22386,18041
WITHPREFIX_2800,std::sort,2.33397,35978
WITHPREFIX_2800,MergeSort LCP,13.3324,498600
WITHPREFIX_2800,Ternary QuickSort,2.17248,74416
WITHPREFIX_2800,MSD Radix,7.07913,0
WITHPREFIX_2800,MSD Sort,2.14525,74416
WITHPREFIX_2800,MSD Radix + Quick,4.89895,12545
RANDOM_2900,std::sort,2.3586,37513
RANDOM_2900,MergeSort LCP,6.74433,72455
RANDOM_2900,Ternary QuickSort,1.57902,35205
RANDOM_2900,MSD Radix,3.40337,0
RANDOM_2900,MSD Sort,1.5745,35205
RANDOM_2900,MSD Radix + Quick,1.08643,13256
REVERSED_2900,std::sort,0.41075,8721
REVERSED_2900,MergeSort LCP,5.54157,44698
REVERSED_2900,Ternary QuickSort,5.36784,141108
REVERSED_2900,MSD Radix,3.43652,0
REVERSED_2900,MSD Sort,5.41203,141108
REVERSED_2900,MSD Radix + Quick,2.23635,45149
ALMOST_2900,std::sort,0.679325,16519
ALMOST_2900,MergeSort LCP,5.78157,50524
ALMOST_2900,Ternary QuickSort,4.57194,119039
ALMOST_2900,MSD Radix,3.4117,0
ALMOST_2900,MSD Sort,4.55794,119039
ALMOST_2900,MSD Radix + Quick,1.27596,19063
WITHPREFIX_2900,std::sort,2.59018,37077
WITHPREFIX_2900,MergeSort LCP,17.6823,517621
WITHPREFIX_2900,Ternary QuickSort,3.22404,75087
WITHPREFIX_2900,MSD Radix,10.5544,0
WITHPREFIX_2900,MSD Sort,2.20869,75087
WITHPREFIX_2900,MSD Radix + Quick,5.11738,13175
RANDOM_3000,std::sort,2.46195,39366
RANDOM_3000,MergeSort LCP,7.00774,75237
RANDOM_3000,Ternary QuickSort,1.61142,35565
RANDOM_3000,MSD Radix,3.72787,0
RANDOM_3000,MSD Sort,1.63334,35565
RANDOM_3000,MSD Radix + Quick,1.14887,13837
REVERSED_3000,std::sort,0.41775,9021
REVERSED_3000,MergeSort LCP,5.85531,46251
REVERSED_3000,Ternary QuickSort,5.63418,147454
REVERSED_3000,MSD Radix,3.63861,0
REVERSED_3000,MSD Sort,5.81974,147454
REVERSED_3000,MSD Radix + Quick,2.43282,47914
ALMOST_3000,std::sort,0.736709,16797
ALMOST_3000,MergeSort LCP,6.22672,54144
ALMOST_3000,Ternary QuickSort,5.03687,124362
ALMOST_3000,MSD Radix,3.6661,0
ALMOST_3000,MSD Sort,4.78055,124362
ALMOST_3000,MSD Radix + Quick,1.33122,20042
WITHPREFIX_3000,std::sort,2.54628,39236
WITHPREFIX_3000,MergeSort LCP,14.3788,538621
WITHPREFIX_3000,Ternary QuickSort,2.27831,79142
WITHPREFIX_3000,MSD Radix,7.76208,0
WITHPREFIX_3000,MSD Sort,2.28595,79142
WITHPREFIX_3000,MSD Radix + Quick,5.28588,14037
