Type,Algorithm,Time,Comparisons
ALMOST_500,MSD Radix + Quick,0.144225,1118
WITHPREFIX_500,std::sort,0.330517,4986
WITHPREFIX_500,MergeSort LCP,1.83163,66255
WITHPREFIX_500,Ternary QuickSort,0.327767,11712
WITHPREFIX_500,MSD Radix,1.32125,0
WITHPREFIX_500,MSD Sort,0.32535,11712
WITHPREFIX_500,MSD Radix + Quick,0.8909,962
RANDOM_600,std::sort,0.422592,6586
RANDOM_600,MergeSort LCP,1.11112,10910
RANDOM_600,Ternary QuickSort,0.250208,5336
RANDOM_600,MSD Radix,0.627292,0
RANDOM_600,MSD Sort,0.2595,5336
RANDOM_600,MSD Radix + Quick,0.177934,1326
REVERSED_600,std::sort,0.0895666,1821
REVERSED_600,MergeSort LCP,0.968725,6949
REVERSED_600,Ternary QuickSort,0.941166,23982
REVERSED_600,MSD Radix,0.613575,0
REVERSED_600,MSD Sort,0.921166,23982
REVERSED_600,MSD Radix + Quick,0.213125,2293
ALMOST_600,std::sort,0.155975,3490
ALMOST_600,MergeSort LCP,0.988058,8132
ALMOST_600,Ternary QuickSort,0.44545,10903
ALMOST_600,MSD Radix,0.611833,0
ALMOST_600,MSD Sort,0.447092,10903
ALMOST_600,MSD Radix + Quick,0.179067,1496
WITHPREFIX_600,std::sort,0.42995,6355
WITHPREFIX_600,MergeSort LCP,2.25486,82977
WITHPREFIX_600,Ternary QuickSort,0.409217,14410
WITHPREFIX_600,MSD Radix,1.50642,0
WITHPREFIX_600,MSD Sort,0.404942,14410
WITHPREFIX_600,MSD Radix + Quick,1.06243,1316
RANDOM_700,std::sort,0.493508,7780
RANDOM_700,MergeSort LCP,1.33962,13182
RANDOM_700,Ternary QuickSort,0.319458,6959
RANDOM_700,MSD Radix,0.670258,0
RANDOM_700,MSD Sort,0.323958,6959
RANDOM_700,MSD Radix + Quick,0.208308,1726
REVERSED_700,std::sort,0.0988834,2121
REVERSED_700,MergeSort LCP,1.11912,8411
REVERSED_700,Ternary QuickSort,1.07148,27825
REVERSED_700,MSD Radix,0.664708,0
REVERSED_700,MSD Sort,1.06828,27825
REVERSED_700,MSD Radix + Quick,0.265717,3114
ALMOST_700,std::sort,0.181166,4029
ALMOST_700,MergeSort LCP,1.18634,9950
ALMOST_700,Ternary QuickSort,0.652775,16443
ALMOST_700,MSD Radix,0.670017,0
ALMOST_700,MSD Sort,0.655333,16443
ALMOST_700,MSD Radix + Quick,0.218791,1979
